submissionid,submissiondatetime,deviceid,username,Survey_Start_Time,Study_Area,Other_Study_Area,User_s_,Plot_ID,Tube_Name,Pre_Survey_Notes,GNSS_Used_,GNSS_Setup,Other_GNSS_Setup,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Tare_Weight__g_,Sampling_Design,Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Number_of_probe_extensions_used_,Point_Observation.Depth_Final__cm_,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Multi_Part_Core_,Point_Observation.Multi_Part_Core_Section_Number,Point_Observation.Additional_Measurements.Multi_Part_Core_Section_Number_copy,Point_Observation.Additional_Measurements.New_Depth__cm_,Point_Observation.Additional_Measurements.New_Depth__cm_:timestamp,Point_Observation.Additional_Measurements.Core_Section_Length__cm_,Point_Observation.Additional_Measurements.Plug_,Point_Observation.Additional_Measurements.Mass___Tube,Point_Observation.Core_Length_Final__cm_,Point_Observation.Plot_Features,Point_Observation.Abbreviations,Point_Observation.Core_Features,Point_Observation.Depth_of_Saturation,Point_Observation.Mass_Final__g_,Point_Observation.Depth_Max,Point_Observation.Retrieval____,Point_Observation.SWE__cm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurement.Distance_from_centre_of_plot__m_,Snow_Pit_Measurement.Depth_above_ground__cm_,Snow_Pit_Measurement.Temperature___C_,Snow_Pit_Measurement.Density_Notes,Survey_End_TIme
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,N,2.5,,Depth,78,5/10/2024 10:13,2,162,,,,,,,,,,,,,O,,,,,,,,,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,N,10,,Density,122,5/10/2024 10:12,,,114,0,4020,,,,,,,,,114,U,,,,590,122,93,52.575,0.431,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,N,5,,Depth,35,5/10/2024 10:13,2,119,,,,,,,,,,,,,E,,,,,,,,,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,N,7.5,,Depth,28,5/10/2024 10:13,2,112,,,,,,,,,,,,,U,,,,,,,,,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,N,10,,Depth,60,5/10/2024 10:14,2,144,,,,,,,,,,,,,U,,,,,,,,,Good,,https://drive.google.com/uc?id=1JwCoU5g-fM9hbKwM1k-7UuycUwcyyGxI,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,E,,,Density,45,5/10/2024 10:17,,,40,0,3670,,,,,,,,,40,O,,,,240,45,89,21.386,0.475,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,S,10,,Depth,16,5/10/2024 10:18,2,100,,,,,,,,,,,,,O,,,,,,,,,Good,,https://drive.google.com/uc?id=1cloVnjkzngTodTn9gQos5c6bRX5kXeMc,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,S,7.5,,Depth,61,5/10/2024 10:20,0,61,,,,,,,,,,,,,O,,,,,,,,,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,S,5,,Depth,78,5/10/2024 10:20,0,78,,,,,,,,,,,,,O,,,,,,,,,Good,,,,,,,5/10/2024 10:37
91645433,2024-05-10 19:45:44 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,5/10/2024 10:11,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,S,2.5,,Depth,69,5/10/2024 10:20,0,69,,,,,,,,,,,,,E,,,,,,,,,Good,,,,,,,5/10/2024 10:37
