aco_flight_number,plot_datetime,user_name,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,plot_features,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g_drop,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm_drop,density_drop,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,N,2.5,,O,Depth,78.0,5/10/2024 10:13,162.0,,,,162.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,N,10.0,,U,Density,122.0,5/10/2024 10:12,0.0,114.0,0.0,4020.0,122.0,,,,,,,,,114.0,,,590.0,122.0,93.0,52.575,0.431,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,N,5.0,,E,Depth,35.0,5/10/2024 10:13,119.0,,,,119.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,N,7.5,,U,Depth,28.0,5/10/2024 10:13,112.0,,,,112.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,N,10.0,,U,Depth,60.0,5/10/2024 10:14,144.0,,,,144.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,E,,,O,Density,45.0,5/10/2024 10:17,0.0,40.0,0.0,3670.0,45.0,,,,,,,,,40.0,,,240.0,45.0,89.0,21.386,0.475,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,S,10.0,,O,Depth,16.0,5/10/2024 10:18,100.0,,,,100.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,S,7.5,,O,Depth,61.0,5/10/2024 10:20,61.0,,,,61.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,S,5.0,,O,Depth,78.0,5/10/2024 10:20,78.0,,,,78.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,S,2.5,,E,Depth,69.0,5/10/2024 10:20,69.0,,,,69.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,Centre,,,O,Density,128.0,5/10/2024 10:20,0.0,118.0,0.0,4060.0,128.0,,,,,,,,,118.0,,,630.0,128.0,92.0,56.139,0.439,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,E,2.5,,U,Depth,88.0,5/10/2024 10:21,88.0,,,,88.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,E,5.0,,U,Depth,40.0,5/10/2024 10:22,40.0,,,,40.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,E,7.5,,O,Depth,41.0,5/10/2024 10:23,41.0,,,,41.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,E,10.0,,O,Depth,47.0,5/10/2024 10:23,47.0,,,,47.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,,,,O,Density,135.0,5/10/2024 10:24,0.0,123.0,0.0,4100.0,135.0,,,,,,,,,123.0,,,670.0,135.0,91.0,59.704,0.442,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,10.0,,O,Depth,153.0,5/10/2024 10:26,153.0,,,,153.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,7.5,,O,Depth,105.0,5/10/2024 10:26,105.0,,,,105.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,5.0,,O,Depth,101.0,5/10/2024 10:26,101.0,,,,101.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,NE,2.5,,E,Depth,117.0,5/10/2024 10:26,117.0,,,,117.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
1,5/10/2024 10:11,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,,,,,,3430,,Centre,,,O,Depth,135.0,5/10/2024 10:26,135.0,,,,135.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 10:37
