submissionid,submissiondatetime,deviceid,username,Survey_Start_Time,Study_Area,Other_Study_Area,User_s_,Plot_ID,Tube_Name,Pre_Survey_Notes,GNSS_Used_,GNSS_Setup,Other_GNSS_Setup,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Tare_Weight__g_,Sampling_Design,Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Number_of_probe_extensions_used_,Point_Observation.Depth_Final__cm_,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Multi_Part_Core_,Point_Observation.Multi_Part_Core_Section_Number,Point_Observation.Additional_Measurements.Multi_Part_Core_Section_Number_copy,Point_Observation.Additional_Measurements.New_Depth__cm_,Point_Observation.Additional_Measurements.New_Depth__cm_:timestamp,Point_Observation.Additional_Measurements.Core_Section_Length__cm_,Point_Observation.Additional_Measurements.Plug_,Point_Observation.Additional_Measurements.Mass___Tube,Point_Observation.Core_Length_Final__cm_,Point_Observation.Plot_Features,Point_Observation.Abbreviations,Point_Observation.Core_Features,Point_Observation.Depth_of_Saturation,Point_Observation.Mass_Final__g_,Point_Observation.Depth_Max,Point_Observation.Retrieval____,Point_Observation.SWE__cm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurement.Distance_from_centre_of_plot__m_,Snow_Pit_Measurement.Depth_above_ground__cm_,Snow_Pit_Measurement.Temperature___C_,Snow_Pit_Measurement.Density_Notes,Survey_End_TIme
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,W,10,,Depth,47,4/5/2024 11:59,0,47,,,,,,,,,,,,,E,,,,,,,,,Good,,https://drive.google.com/uc?id=1wFSnTBnI9mbRfmNri2KckJm9h9MxhGAK,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,W,7.5,,Depth,51,4/5/2024 11:59,0,51,,,,,,,,,,,,,U,,,,,,,,,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,W,5,,Depth,70,4/5/2024 11:59,0,70,,,,,,,,,,,,,E,,,,,,,,,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,W,2.5,,Depth,75,4/5/2024 12:00,0,75,,,,,,,,,,,,,E,,,,,,,,,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,W,10,,Density,45,4/5/2024 12:01,,,40,0,3050,no,,,,,,,,40,E,,,,160,45,89,14.258,0.317,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,Centre,,,Depth,102,4/5/2024 12:02,0,102,,,,,,,,,,,,,U,,,,,,,,,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,E,10,,Depth,102,4/5/2024 12:03,0,102,,,,,,,,,,,,,O,,,,,,,,,Good,,https://drive.google.com/uc?id=1x6GKz6597hh4LVtlFsuGt69OPCnRWFC0,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,E,7.5,,Depth,100,4/5/2024 12:04,0,100,,,,,,,,,,,,,O,,,,,,,,,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,E,5,,Depth,75,4/5/2024 12:04,0,75,,,,,,,,,,,,,O,,,,,,,,,Good,,,,,,,4/5/2024 12:23
90466174,2024-04-05 18:18:43 -07:00,iPad_B21591CC-BEAE-44CA-992E-DDB5854CED2F,CHRL-Nikolai Schirmer,4/5/2024 11:54,Englishman,,Ak bf sm,C3,CHRL 1,,No will survey later,,,,,2890,,Cardinal 10 m,E,2.5,,Depth,41,4/5/2024 12:04,0,41,,,,,,,,,,,,,U,,,,,,,,,Good,,,,,,,4/5/2024 12:23
